model_name,series,launch_year,price_inr,ram_gb,storage_gb,processor_score,main_camera_mp,ultrawide_mp,telephoto_mp,front_camera_mp,ois,battery_mah,charging_w,refresh_rate_hz,screen_size_inch,weight_g,ai_features,waterproof,target_segment,camera_score,performance_score,battery_score,display_score,ai_score,durability_score,value_score
Galaxy A06,A,2025,10999,4,64,3.8,50,2,0,8,No,5000,25,60,6.7,189,No,No,budget,0.0,0.0,3.961538461538463,1.428571428571428,0,0,1.0
Galaxy A15 5G,A,2024,17999,6,128,5.1,50,5,0,13,No,5000,25,90,6.5,200,No,No,budget,0.3465583173996176,1.8890168970814132,3.961538461538463,3.8571428571428554,0,0,2.2440927162962394
Galaxy A16 5G,A,2025,19999,8,128,5.7,50,8,0,13,No,5000,25,90,6.7,198,Basic AI,No,budget,0.48279158699808805,2.886328725038403,3.961538461538463,4.428571428571428,5,0,3.090713836985371
Galaxy A25 5G,A,2024,24999,8,128,6.5,50,8,0,13,Yes,5000,25,120,6.5,197,Basic AI,Yes,budget,0.48279158699808805,3.6605222734254994,3.961538461538463,6.857142857142856,5,10,5.166895681343078
Galaxy A26 5G,A,2025,27999,8,256,6.9,64,8,0,13,Yes,5000,25,120,6.7,197,Basic AI,Yes,business,1.1252390057361377,4.476190476190476,3.961538461538463,7.428571428571428,5,10,5.7201325050981815
Galaxy A35 5G,A,2024,32999,8,256,7.5,50,12,5,32,Yes,5000,25,120,6.6,209,Galaxy AI,Yes,photography,1.6778202676864247,5.056835637480798,3.961538461538463,7.1428571428571415,10,10,6.282205368275088
Galaxy A36 5G,A,2025,35999,8,256,7.9,50,12,8,32,Yes,5000,45,120,6.7,205,Galaxy AI,Yes,gaming,1.746653919694073,5.443932411674348,5.9615384615384635,7.428571428571428,10,10,6.9695706576348995
Galaxy A55 5G,A,2024,42999,12,256,8.5,50,12,10,32,Yes,5000,45,120,6.6,213,Galaxy AI,Yes,business,1.7925430210325048,6.857910906298002,5.9615384615384635,7.1428571428571415,10,10,7.2679720331949245
Galaxy M15 5G,M,2024,15999,6,128,5.4,50,5,0,13,No,6000,25,90,6.5,217,No,No,budget,0.3465583173996176,2.179339477726575,6.653846153846153,3.8571428571428554,0,0,3.1621824797648808
Galaxy M35 5G,M,2024,26999,8,256,7.6,50,8,0,13,Yes,6000,25,120,6.6,222,Basic AI,No,gaming,0.48279158699808805,5.1536098310291845,6.653846153846153,7.1428571428571415,5,0,5.061672700628436
Galaxy M36 5G,M,2025,29999,8,256,8.0,64,8,0,13,Yes,6500,45,120,6.7,225,Galaxy AI,Yes,gaming,1.1539196940726575,5.540706605222734,10.0,7.428571428571428,10,10,8.031294760871564
Galaxy M56 5G,M,2025,33999,12,256,8.4,50,12,5,32,Yes,5000,45,120,6.7,185,Galaxy AI,Yes,busines,1.6778202676864247,6.761136712749616,5.9615384615384635,7.428571428571428,10,10,7.429706976928497
Galaxy F15 5G,F,2024,16999,6,128,5.5,50,5,0,13,No,6000,25,90,6.5,217,No,No,budget,0.3465583173996176,2.2761136712749623,6.653846153846153,3.8571428571428554,0,0,3.174095425841087
Galaxy F35 5G,F,2025,25999,8,256,7.4,64,8,0,13,Yes,6000,25,120,6.7,220,Basic AI,Yes,gaming,1.1252390057361377,4.960061443932412,6.653846153846153,7.428571428571428,5,10,6.674555728578697
Galaxy F55 5G,F,2024,29999,8,256,8.0,108,12,8,32,Yes,5000,45,120,6.7,180,Galaxy AI,Yes,photography,4.408221797323136,5.540706605222734,5.9615384615384635,7.428571428571428,10,10,8.039291680970726
Galaxy F56 5G,F,2025,34999,12,256,8.5,108,12,10,32,Yes,5000,45,120,6.7,184,Galaxy AI,Yes,photography,4.454110898661567,6.857910906298002,5.9615384615384635,7.428571428571428,10,10,8.369632860860285
Galaxy S23 FE,S,2024,49999,8,128,8.8,50,12,8,10,Yes,4500,25,120,6.4,209,Galaxy AI,Yes,business,0.6950286806883367,5.886328725038403,2.6153846153846168,6.571428571428572,10,10,5.511816638291902
Galaxy S24 FE,S,2025,59999,8,256,9.1,50,12,8,12,Yes,4700,25,120,6.7,213,Galaxy AI,Yes,photography,0.7906309751434035,6.6052227342549905,3.153846153846153,7.428571428571428,10,10,5.9721893697848145
Galaxy S24,S,2024,74999,12,256,9.5,50,12,10,12,Yes,4000,25,120,6.2,168,Galaxy AI,Yes,business,0.8365200764818356,7.825652841781874,1.2692307692307692,6.0,10,10,5.500391867908272
Galaxy S24+,S,2024,94999,12,256,9.7,50,12,10,12,Yes,4900,45,120,6.7,197,Galaxy AI,Yes,business,0.8365200764818356,8.019201228878647,5.6923076923076925,7.428571428571428,10,10,6.778959740807952
Galaxy S24 Ultra,S,2024,129999,12,512,10.0,200,50,50,12,Yes,5000,45,120,6.8,232,Galaxy AI,Yes,photography,10.0,9.166666666666666,5.9615384615384635,7.7142857142857135,10,10,9.76726181093781
Galaxy S25,S,2025,84999,12,256,9.8,50,12,10,12,Yes,4000,45,120,6.2,165,Galaxy AI,Yes,business,0.8365200764818356,8.115975422427036,3.2692307692307696,6.0,10,10,6.017478078510155
Galaxy S25+,S,2025,104999,12,512,9.9,50,12,10,12,Yes,4900,45,120,6.7,190,Galaxy AI,Yes,gaming,0.8365200764818356,9.06989247311828,5.6923076923076925,7.428571428571428,10,10,7.0341709350249975
Galaxy S25 Edge,S,2025,114999,12,512,9.9,200,12,10,12,Yes,3900,45,120,6.7,163,Galaxy AI,Yes,photography,7.719885277246655,9.06989247311828,3.0,7.428571428571428,10,10,8.397077366873207
